unified_id,original_id,product_name,sentiment,opinion,score,date,source_file
21,op021,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
22,op022,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
23,op023,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
24,op024,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
25,op025,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
26,op026,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
27,op027,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
28,op028,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
29,op029,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
30,op030,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
31,op031,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
32,op032,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
33,op033,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
34,op034,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
35,op035,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
36,op036,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
37,op037,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
38,op038,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
39,op039,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
40,op040,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
41,op041,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
42,op042,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
43,op043,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
44,op044,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
45,op045,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
46,op046,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
47,op047,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
48,op048,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
49,op049,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
50,op050,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
51,op051,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
52,op052,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
53,op053,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
54,op054,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
55,op055,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
56,op056,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
57,op057,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
58,op058,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
59,op059,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
60,op060,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
61,op061,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
62,op062,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
63,op063,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
64,op064,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
65,op065,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
66,op066,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
67,op067,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
68,op068,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
69,op069,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
70,op070,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
71,op071,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
72,op072,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
73,op073,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
74,op074,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
75,op075,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
76,op076,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
77,op077,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
78,op078,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
79,op079,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
80,op080,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
81,op081,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
82,op082,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
83,op083,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
84,op084,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
85,op085,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
86,op086,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
87,op087,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
88,op088,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
89,op089,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
90,op090,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
91,op091,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
92,op092,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
93,op093,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
94,op094,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
95,op095,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
96,op096,Racing Thunder 3,positive,"Great experience playing Racing Thunder 3, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
97,op097,Mystic Realms Online,positive,"Great experience playing Mystic Realms Online, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
98,op098,CyberStrike Arena,positive,"Great experience playing CyberStrike Arena, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
99,op099,Farm Life Simulator,positive,"Great experience playing Farm Life Simulator, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
100,op100,Galaxy Quest IV,positive,"Great experience playing Galaxy Quest IV, enjoyable and smooth gameplay.",4.0,,opinions DV.csv
101,op101,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
102,op102,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
103,op103,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
104,op104,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
105,op105,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
106,op106,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
107,op107,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
108,op108,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
109,op109,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
110,op110,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
111,op111,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
112,op112,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
113,op113,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
114,op114,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
115,op115,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
116,op116,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
117,op117,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
118,op118,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
119,op119,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
120,op120,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
121,op121,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
122,op122,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
123,op123,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
124,op124,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
125,op125,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
126,op126,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
127,op127,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
128,op128,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
129,op129,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
130,op130,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
131,op131,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
132,op132,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
133,op133,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
134,op134,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
135,op135,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
136,op136,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
137,op137,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
138,op138,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
139,op139,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
140,op140,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
141,op141,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
142,op142,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
143,op143,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
144,op144,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
145,op145,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
146,op146,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
147,op147,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
148,op148,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
149,op149,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
150,op150,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
151,op151,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
152,op152,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
153,op153,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
154,op154,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
155,op155,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
156,op156,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
157,op157,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
158,op158,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
159,op159,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
160,op160,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
161,op161,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
162,op162,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
163,op163,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
164,op164,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
165,op165,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
166,op166,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
167,op167,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
168,op168,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
169,op169,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
170,op170,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
171,op171,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
172,op172,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
173,op173,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
174,op174,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
175,op175,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
176,op176,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
177,op177,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
178,op178,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
179,op179,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
180,op180,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
181,op181,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
182,op182,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
183,op183,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
184,op184,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
185,op185,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
186,op186,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
187,op187,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
188,op188,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
189,op189,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
190,op190,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
191,op191,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
192,op192,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
193,op193,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
194,op194,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
195,op195,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
196,op196,Racing Thunder 3,negative,"Not satisfied with Racing Thunder 3, too many issues and weak design.",1.0,,opinions DV.csv
197,op197,Mystic Realms Online,negative,"Not satisfied with Mystic Realms Online, too many issues and weak design.",1.0,,opinions DV.csv
198,op198,CyberStrike Arena,negative,"Not satisfied with CyberStrike Arena, too many issues and weak design.",1.0,,opinions DV.csv
199,op199,Farm Life Simulator,negative,"Not satisfied with Farm Life Simulator, too many issues and weak design.",1.0,,opinions DV.csv
200,op200,Galaxy Quest IV,negative,"Not satisfied with Galaxy Quest IV, too many issues and weak design.",1.0,,opinions DV.csv
201,,EcoHeat Portable Heater,positive,Absolutely love this product!,5.0,,opinions-DS.csv
202,,ThunderGaming Mouse GX,positive,Super convenient and reliable.,5.0,,opinions-DS.csv
203,,AquaPure Water Filter,positive,Absolutely love this product!,5.0,,opinions-DS.csv
204,,AeroCoffee Maker 3,positive,I would definitely buy it again.,5.0,,opinions-DS.csv
205,,AeroCoffee Maker 3,positive,Great quality and easy to use.,4.0,,opinions-DS.csv
206,,ThunderGaming Mouse GX,positive,Absolutely love this product!,4.0,,opinions-DS.csv
207,,PureSound BT Speaker,positive,Exceeded my expectations.,5.0,,opinions-DS.csv
208,,PureSound BT Speaker,positive,Great quality and easy to use.,4.0,,opinions-DS.csv
209,,FreshBlend Mini Blender,positive,Great quality and easy to use.,4.0,,opinions-DS.csv
210,,EcoHeat Portable Heater,positive,Works perfectly and looks great.,5.0,,opinions-DS.csv
211,,SmartWatch X10,positive,Great quality and easy to use.,4.0,,opinions-DS.csv
212,,AquaPure Water Filter,positive,Exceeded my expectations.,5.0,,opinions-DS.csv
213,,AquaPure Water Filter,positive,Absolutely love this product!,5.0,,opinions-DS.csv
214,,AeroCoffee Maker 3,positive,Works perfectly and looks great.,5.0,,opinions-DS.csv
215,,PureSound BT Speaker,positive,Great quality and easy to use.,4.0,,opinions-DS.csv
216,,ThunderGaming Mouse GX,positive,I would definitely buy it again.,4.0,,opinions-DS.csv
217,,ThunderGaming Mouse GX,positive,Super convenient and reliable.,5.0,,opinions-DS.csv
218,,SmartWatch X10,positive,Absolutely love this product!,4.0,,opinions-DS.csv
219,,AquaPure Water Filter,positive,Amazing performance!,4.0,,opinions-DS.csv
220,,SkyView 4K Drone,positive,Fantastic value for the price.,5.0,,opinions-DS.csv
221,,PureSound BT Speaker,positive,Absolutely love this product!,4.0,,opinions-DS.csv
222,,SmartWatch X10,positive,Fantastic value for the price.,4.0,,opinions-DS.csv
223,,EcoHeat Portable Heater,positive,Exceeded my expectations.,4.0,,opinions-DS.csv
224,,AquaPure Water Filter,positive,Exceeded my expectations.,4.0,,opinions-DS.csv
225,,ThunderGaming Mouse GX,positive,Highly recommended!,5.0,,opinions-DS.csv
226,,LuminaDesk LED Lamp,positive,Super convenient and reliable.,4.0,,opinions-DS.csv
227,,LuminaDesk LED Lamp,positive,Exceeded my expectations.,4.0,,opinions-DS.csv
228,,UltraSound Earbuds Pro,positive,Great quality and easy to use.,5.0,,opinions-DS.csv
229,,LuminaDesk LED Lamp,positive,One of the best purchases I've made.,5.0,,opinions-DS.csv
230,,ThunderGaming Mouse GX,positive,Super convenient and reliable.,5.0,,opinions-DS.csv
231,,AeroCoffee Maker 3,positive,Exceeded my expectations.,4.0,,opinions-DS.csv
232,,AeroCoffee Maker 3,positive,Exceeded my expectations.,5.0,,opinions-DS.csv
233,,EcoHeat Portable Heater,positive,Fantastic value for the price.,4.0,,opinions-DS.csv
